OBJECTID,location,Metropolitan_Nonmetropolitan,crime_majority,All_Crime,Violent_Crime,Murder_and_Nonnegligent_Manslaughter,Rape,Robbery,Aggravated_Assault,Property_Crime,Burglary,Larceny_theft,Motor_Vehicle_Theft,Arson,pct_violent,pct_murder,pct_rape,pct_robbery,pct_assault,pct_property,pct_burglary,pct_larceny,pct_vehicle,pct_arson,GEOIDFQ
1,"Kiowa County, Oklahoma",Nonmetropolitan County,Property Crimes,28,2,0,0,0,2,12,2,7,3,0,7.142857143,0,0,0,7.142857143,42.85714286,7.142857143,25,10.71428571,0,0500000US40075
2,"Lake County, South Dakota",Nonmetropolitan County,Property Crimes,32,5,0,3,0,2,11,2,9,0,0,15.625,0,9.375,0,6.25,34.375,6.25,28.125,0,0,0500000US46079
3,"Caswell County, North Carolina",Nonmetropolitan County,Property Crimes,142,20,1,6,1,12,51,12,31,8,0,14.08450704,0.704225352,4.225352113,0.704225352,8.450704225,35.91549296,8.450704225,21.83098592,5.633802817,0,0500000US37033
4,"Presidio County, Texas",Nonmetropolitan County,Violent Crimes,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0500000US48377
5,"Greene County, Ohio",Metropolitan County,Property Crimes,619,24,0,9,1,14,282,39,198,45,7,3.877221325,0,1.453957997,0.161550889,2.261712439,45.55735057,6.300484653,31.98707593,7.269789984,1.13085622,0500000US39057
6,"Willacy County, Texas",Nonmetropolitan County,Property Crimes,146,22,0,2,0,20,50,19,22,9,2,15.06849315,0,1.369863014,0,13.69863014,34.24657534,13.01369863,15.06849315,6.164383562,1.369863014,0500000US48489
7,"Bayamón Municipio, Puerto Rico",,,,,,,,,,,,,,,,,,,,,,,,0500000US72021
8,"Los Alamos County, New Mexico",,,,,,,,,,,,,,,,,,,,,,,,0500000US35028
9,"Choctaw County, Oklahoma",Nonmetropolitan County,Property Crimes,158,18,1,3,1,13,59,24,22,13,4,11.39240506,0.632911392,1.898734177,0.632911392,8.227848101,37.34177215,15.18987342,13.92405063,8.227848101,2.53164557,0500000US40023
10,"Dickinson County, Kansas",Nonmetropolitan County,Property Crimes,76,6,0,1,0,5,32,6,22,4,0,7.894736842,0,1.315789474,0,6.578947368,42.10526316,7.894736842,28.94736842,5.263157895,0,0500000US20041
11,"Starr County, Texas",Nonmetropolitan County,Property Crimes,735,136,5,22,5,104,227,71,122,34,9,18.50340136,0.680272109,2.993197279,0.680272109,14.14965986,30.88435374,9.659863946,16.59863946,4.62585034,1.224489796,0500000US48427
12,"Effingham County, Georgia",Metropolitan County,Property Crimes,386,28,0,6,0,22,165,38,104,23,0,7.25388601,0,1.554404145,0,5.699481865,42.74611399,9.844559585,26.94300518,5.958549223,0,0500000US13103
13,"Roger Mills County, Oklahoma",Nonmetropolitan County,Property Crimes,40,3,0,1,0,2,17,4,8,5,0,7.5,0,2.5,0,5,42.5,10,20,12.5,0,0500000US40129
14,"Richland County, Wisconsin",Nonmetropolitan County,Property Crimes,70,10,0,1,0,9,25,1,19,5,0,14.28571429,0,1.428571429,0,12.85714286,35.71428571,1.428571429,27.14285714,7.142857143,0,0500000US55103
15,"Lea County, New Mexico",Nonmetropolitan County,Property Crimes,1512,103,1,8,6,88,653,116,469,68,0,6.812169312,0.066137566,0.529100529,0.396825397,5.82010582,43.18783069,7.671957672,31.01851852,4.497354497,0,0500000US35025
16,"Lamar County, Alabama",Nonmetropolitan County,Property Crimes,34,3,0,0,1,2,14,3,8,3,0,8.823529412,0,0,2.941176471,5.882352941,41.17647059,8.823529412,23.52941176,8.823529412,0,0500000US01075
17,"Florida Municipio, Puerto Rico",,,,,,,,,,,,,,,,,,,,,,,,0500000US72054
18,"Marshall County, Tennessee",Nonmetropolitan County,Property Crimes,146,25,0,3,0,22,48,8,30,10,0,17.12328767,0,2.054794521,0,15.06849315,32.87671233,5.479452055,20.54794521,6.849315068,0,0500000US47117
19,"Appomattox County, Virginia",Metropolitan County,Property Crimes,219,22,0,0,0,22,87,6,81,0,1,10.0456621,0,0,0,10.0456621,39.7260274,2.739726027,36.98630137,0,0.456621005,0500000US51011
20,"Madison County, Arkansas",Metropolitan County,Property Crimes,341,73,1,14,0,58,97,32,49,16,1,21.40762463,0.293255132,4.105571848,0,17.00879765,28.4457478,9.384164223,14.36950147,4.692082111,0.293255132,0500000US05087
21,"St. Charles Parish, Louisiana",Metropolitan County,Property Crimes,1309,123,1,8,15,99,528,78,392,58,7,9.396485867,0.076394194,0.611153552,1.145912911,7.56302521,40.33613445,5.958747135,29.94652406,4.430863254,0.534759358,0500000US22089
22,"Poinsett County, Arkansas",Metropolitan County,Property Crimes,265,51,2,7,1,41,81,21,50,10,1,19.24528302,0.754716981,2.641509434,0.377358491,15.47169811,30.56603774,7.924528302,18.86792453,3.773584906,0.377358491,0500000US05111
