OBJECTID,location,population,population_white,population_white_only,population_hispanic,population_black,population_asian,population_native,population_native_islander,population_other,population_two_or_more,male_population,population_white_male,population_white_only_male,population_hispanic_male,population_black_male,population_asian_male,population_native_male,population_native_islander_male,population_other_male,population_two_or_more_male,female_population,population_white_female,population_white_only_female,population_hispanic_female,population_black_female,population_asian_female,population_native_female,population_native_islander_female,population_other_female,population_two_or_more_female,pct_white,pct_white_only,pct_hispanic,pct_black,pct_asian,pct_native,pct_native_islander,pct_other,pct_two_or_more,pop_num,pop_white_num,pop_black_num,pop_white_only_num,pop_hispanic_num,pop_native_islander_num,pop_other_num,pop_two_or_more_num,pop_native_num,pop_asian_num,majority_race,GEOIDFQ
1,"Kiowa County, Oklahoma",8458,6858,6146,999,284,14,356,0,130,816,4058,3340,3041,456,123,2,171,0,76,346,4400,3518,3105,543,161,12,185,0,54,470,81.08299834,72.66493261,11.81130291,3.357767794,0.165523764,4.209032868,0,1.537006384,9.647670844,8458,6858,284,6146,999,0,130,816,356,14,White,0500000US40075
2,"Lake County, South Dakota",11052,10175,9915,560,55,65,265,6,213,273,5807,5309,5188,326,55,0,127,6,184,126,5245,4866,4727,234,0,65,138,0,29,147,92.06478465,89.71226927,5.066956207,0.497647485,0.588128845,2.397756062,0.054288817,1.927252986,2.470141151,11052,10175,55,9915,560,6,213,273,265,65,White,0500000US46079
3,"Caswell County, North Carolina",22689,13671,13543,1102,7138,97,19,0,425,1339,11797,6976,6888,602,3751,74,2,0,255,739,10892,6695,6655,500,3387,23,17,0,170,600,60.25386751,59.68971748,4.856979153,31.46017894,0.427519944,0.08374102,0,1.873154392,5.90153819,22689,13671,7138,13543,1102,0,425,1339,19,97,White,0500000US37033
4,"Presidio County, Texas",6043,2231,1171,4622,65,1,150,0,123,3473,3129,1125,587,2393,65,0,117,0,123,1699,2914,1106,584,2229,0,1,33,0,0,1774,36.91874897,19.37779249,76.48518948,1.07562469,0.016548072,2.482210822,0,2.035412874,57.47145458,6043,2231,65,1171,4622,0,123,3473,150,1,Hispanic/Latino,0500000US48377
5,"Greene County, Ohio",168531,139641,137754,5418,9916,4797,266,226,1889,11796,83666,69491,68566,2783,4697,2159,149,50,964,6156,84865,70150,69188,2635,5219,2638,117,176,925,5640,82.85775317,81.73807786,3.214838813,5.883783992,2.84636061,0.157834464,0.134099958,1.120862037,6.999305766,168531,139641,9916,137754,5418,226,1889,11796,266,4797,White,0500000US39057
6,"Willacy County, Texas",20218,11486,2118,17623,293,0,25,0,980,7434,10941,6246,1124,9479,291,0,25,0,545,3834,9277,5240,994,8144,2,0,0,0,435,3600,56.81076269,10.47581363,87.16490256,1.44920368,0,0.123652191,0,4.847165892,36.76921555,20218,11486,293,2118,17623,0,980,7434,25,0,Hispanic/Latino,0500000US48489
7,"Bayamón Municipio, Puerto Rico",183456,45010,951,181360,10021,400,212,10,61177,66626,85774,21128,469,84716,5031,209,115,0,28388,30903,97682,23882,482,96644,4990,191,97,10,32789,35723,24.53449328,0.518380429,98.85749171,5.462345194,0.218035932,0.115559044,0.005450898,33.34696058,36.31715507,183456,45010,10021,951,181360,10,61177,66626,212,400,Hispanic/Latino,0500000US72021
8,"Los Alamos County, New Mexico",19374,14782,13614,3465,233,964,169,0,1074,2152,9990,7897,7137,1679,81,496,72,0,415,1029,9384,6885,6477,1786,152,468,97,0,659,1123,76.29813152,70.26943326,17.88479405,1.202642717,4.975740683,0.872303087,0,5.543511923,11.10767007,19374,14782,233,13614,3465,0,1074,2152,169,964,White,0500000US35028
9,"Choctaw County, Oklahoma",14299,8501,8351,681,1352,97,2177,12,259,1901,6900,4021,3950,396,644,50,1069,1,128,987,7399,4480,4401,285,708,47,1108,11,131,914,59.45170991,58.4026855,4.762570809,9.455206658,0.678369117,15.2248409,0.083921953,1.811315477,13.29463599,14299,8501,1352,8351,681,12,259,1901,2177,97,White,0500000US40023
10,"Dickinson County, Kansas",18423,16916,16396,998,51,60,70,0,251,1075,9212,8476,8212,540,33,40,32,0,131,500,9211,8440,8184,458,18,20,38,0,120,575,91.8200076,88.99744884,5.417141616,0.276827878,0.325679857,0.379959833,0,1.362427401,5.835097433,18423,16916,51,16396,998,0,251,1075,70,60,White,0500000US20041
11,"Starr County, Texas",65809,29115,1417,64036,217,17,101,0,7440,28919,32110,14139,792,31133,122,0,77,0,3903,13869,33699,14976,625,32903,95,17,24,0,3537,15050,44.24166907,2.15320093,97.30583963,0.329742133,0.025832333,0.153474449,0,11.30544454,43.94383747,65809,29115,217,1417,64036,0,7440,28919,101,17,Hispanic/Latino,0500000US48427
12,"Effingham County, Georgia",67265,51410,49859,4128,9612,504,97,84,1144,4414,33309,25783,24900,2120,4725,186,31,0,513,2071,33956,25627,24959,2008,4887,318,66,84,631,2343,76.42904928,74.12324389,6.136921133,14.2897495,0.749275255,0.144205753,0.124879209,1.700735895,6.562105107,67265,51410,9612,49859,4128,84,1144,4414,97,504,White,0500000US13103
