OBJECTID,Location,median,median_white,median_white_only,median_hispanic,median_black_only,median_asian,median_native,median_native_islander,median_other,median_two_or_more,GEOIDFQ
1,"Kiowa County, Oklahoma",42063,44540,48242,26154,23333,0,0,0,28125,36250,0500000US40075
2,"Lake County, South Dakota",73792,74129,75028,0,0,0,0,0,0,0,0500000US46079
3,"Caswell County, North Carolina",59407,59709,59801,105446,56133,0,0,0,133510,64712,0500000US37033
4,"Presidio County, Texas",29014,28507,35389,22693,0,0,0,0,0,41987,0500000US48377
5,"Greene County, Ohio",85218,87013,86751,99265,64250,138889,85536,0,64000,75653,0500000US39057
6,"Willacy County, Texas",45645,47762,71411,42561,0,0,0,0,76667,40940,0500000US48489
7,"Bayamón Municipio, Puerto Rico",30729,33819,26607,30688,32350,0,0,0,31488,28256,0500000US72021
8,"Los Alamos County, New Mexico",143188,152725,153739,91912,250000,126917,152143,0,66618,134792,0500000US35028
9,"Choctaw County, Oklahoma",45456,46915,46970,45313,28991,0,61875,0,83750,40132,0500000US40023
10,"Dickinson County, Kansas",67982,69572,69125,92333,0,0,33667,0,0,44183,0500000US20041
11,"Starr County, Texas",38182,41273,49955,37748,0,0,0,0,44907,30619,0500000US48427
12,"Effingham County, Georgia",85465,90466,90340,92450,67109,108000,16181,0,95269,103578,0500000US13103
13,"Roger Mills County, Oklahoma",62721,65625,66607,62143,0,0,0,0,75625,0,0500000US40129
14,"Richland County, Wisconsin",62649,64084,64247,41779,0,0,0,0,53194,35469,0500000US55103
15,"Lea County, New Mexico",68750,76788,79226,60165,62981,106250,66469,0,64918,53500,0500000US35025
16,"Lamar County, Alabama",47447,52948,53031,0,23867,0,0,0,0,0,0500000US01075
17,"Florida Municipio, Puerto Rico",21213,23119,0,21042,0,0,0,0,11886,23906,0500000US72054
18,"Marshall County, Tennessee",70829,75016,75575,66016,52964,0,13861,0,95625,49868,0500000US47117
19,"Appomattox County, Virginia",62337,66278,65170,76373,51726,0,0,0,0,40417,0500000US51011
20,"Madison County, Arkansas",53888,56353,56224,77292,0,163750,41198,0,42230,45321,0500000US05087
21,"St. Charles Parish, Louisiana",82172,96981,95983,101534,43298,147903,180182,0,97375,99135,0500000US22089
22,"Poinsett County, Arkansas",47188,52252,52319,29375,31974,0,0,0,24097,27462,0500000US05111
23,"Gulf County, Florida",67361,68011,67903,54500,58393,0,0,0,0,73698,0500000US12045
24,"Hamblen County, Tennessee",52794,55808,56016,49948,28967,0,0,0,0,50229,0500000US47063
25,"Ballard County, Kentucky",64740,66495,66471,70368,0,0,0,0,0,0,0500000US21007
26,"Archer County, Texas",71958,72956,72936,69875,0,0,0,0,69000,70341,0500000US48009
27,"Baylor County, Texas",42313,41959,41922,25806,0,0,0,0,0,55948,0500000US48023
28,"San Augustine County, Texas",46338,58569,58602,35054,26893,0,0,0,29097,66389,0500000US48405
29,"Storey County, Nevada",96000,89375,84976,116117,0,0,0,0,0,116681,0500000US32029
30,"Schley County, Georgia",59647,61410,61603,0,33427,0,0,0,0,67045,0500000US13249
31,"Madison County, Texas",67128,73545,76929,60146,52361,0,0,0,0,70588,0500000US48313
32,"San Joaquin County, California",88531,91753,96013,77870,72447,110181,75771,127560,78271,83367,0500000US06077
33,"Winston County, Mississippi",49071,67143,67340,27697,30598,0,28233,0,0,0,0500000US28159
34,"Henry County, Kentucky",60736,59803,59555,89779,65192,128229,0,0,137308,64583,0500000US21103
35,"Mercer County, Kentucky",63115,64608,64746,58542,49844,0,0,0,98654,70750,0500000US21167
36,"Wheeler County, Nebraska",55893,55179,55357,99375,0,0,0,0,0,0,0500000US31183
37,"Lewis County, Kentucky",41632,41654,41654,0,0,0,0,0,0,21818,0500000US21135
38,"Grant County, Minnesota",72957,74357,74071,90417,0,0,0,0,81250,38333,0500000US27051
39,"Humphreys County, Mississippi",32976,64844,64844,0,26812,0,0,0,0,63333,0500000US28053
40,"Clarke County, Alabama",49167,63045,63250,0,36368,0,0,0,0,48750,0500000US01025
41,"Chase County, Kansas",54518,54857,54696,97609,0,0,0,0,0,50917,0500000US20017
42,"Trigg County, Kentucky",54630,57867,58257,40846,43719,0,0,0,0,28897,0500000US21221
43,"Jasper County, Iowa",70128,70891,70982,47759,61184,105179,0,0,48793,41364,0500000US19099
44,"Wayne County, Mississippi",36791,53497,53497,0,24274,0,0,0,0,91250,0500000US28153
