"GEO_ID","NAME","B19001B_001E","B19001B_001M","B19001B_002E","B19001B_002M","B19001B_003E","B19001B_003M","B19001B_004E","B19001B_004M","B19001B_005E","B19001B_005M","B19001B_006E","B19001B_006M","B19001B_007E","B19001B_007M","B19001B_008E","B19001B_008M","B19001B_009E","B19001B_009M","B19001B_010E","B19001B_010M","B19001B_011E","B19001B_011M","B19001B_012E","B19001B_012M","B19001B_013E","B19001B_013M","B19001B_014E","B19001B_014M","B19001B_015E","B19001B_015M","B19001B_016E","B19001B_016M","B19001B_017E","B19001B_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"0500000US01001","Autauga County, Alabama","4198","308","188","104","213","103","54","48","307","148","332","162","193","162","244","138","84","62","207","129","573","247","690","214","283","108","288","169","100","80","140","74","302","126",
"0500000US01003","Baldwin County, Alabama","7647","544","534","244","1085","405","475","222","508","275","467","210","493","216","371","226","500","243","502","252","679","374","727","355","536","215","333","224","158","123","170","141","109","91",
"0500000US01005","Barbour County, Alabama","4091","293","708","193","314","119","339","115","384","152","479","171","169","73","148","67","176","104","209","103","173","89","352","143","240","108","190","104","126","73","63","54","21","22",
"0500000US01007","Bibb County, Alabama","1460","248","223","128","211","153","158","112","124","84","106","79","72","69","50","52","119","108","16","30","35","32","131","103","136","125","22","27","32","44","25","34","0","25",
"0500000US01009","Blount County, Alabama","161","66","1","2","20","29","11","14","0","31","36","37","11","13","0","31","0","31","0","31","7","12","39","46","30","24","6","9","0","31","0","31","0","31",
"0500000US01011","Bullock County, Alabama","2470","235","307","158","340","159","279","139","145","105","156","82","173","98","137","102","236","145","71","47","49","51","189","97","109","70","122","96","106","80","35","37","16","30",
"0500000US01013","Butler County, Alabama","3224","207","328","123","204","89","463","159","261","107","186","97","176","80","155","86","228","95","68","57","189","94","273","102","335","117","130","62","52","39","100","67","76","57",
"0500000US01015","Calhoun County, Alabama","9589","490","1162","252","1093","258","650","180","551","217","532","203","430","153","532","217","512","280","230","101","780","234","856","291","1003","243","507","167","433","145","193","123","125","86",
"0500000US01017","Chambers County, Alabama","4837","353","263","113","433","190","374","148","301","116","280","115","505","214","218","108","236","142","218","104","322","165","503","199","485","190","381","179","149","94","147","121","22","19",
"0500000US01019","Cherokee County, Alabama","478","121","9","10","54","74","96","73","0","25","5","9","21","32","0","25","15","18","47","64","25","31","121","99","79","50","6","9","0","25","0","25","0","25",
"0500000US01021","Chilton County, Alabama","1689","232","40","44","234","136","79","68","71","72","66","71","347","209","97","82","103","87","0","28","31","90","148","77","298","150","56","76","8","18","111","85","0","28",
"0500000US01023","Choctaw County, Alabama","1767","189","218","98","184","91","185","83","100","64","183","86","100","61","65","46","59","37","14","16","115","71","83","52","130","68","59","37","199","83","53","38","20","18",
"0500000US01025","Clarke County, Alabama","3660","325","579","244","274","152","264","112","387","143","166","97","96","74","159","100","210","138","220","103","166","68","150","80","514","153","132","67","139","91","104","76","100","75",
"0500000US01027","Clay County, Alabama","858","117","85","75","149","90","78","58","40","35","73","72","42","48","34","40","11","18","26","26","82","55","142","100","32","29","42","36","0","21","0","21","22","29",
"0500000US01029","Cleburne County, Alabama","318","117","0","21","15","45","59","94","97","106","0","21","0","21","0","21","80","116","40","59","27","42","0","21","0","21","0","21","0","21","0","21","0","21",
"0500000US01031","Coffee County, Alabama","3597","282","535","194","464","198","312","134","180","77","152","105","166","85","135","79","194","117","200","95","261","126","212","124","418","164","182","109","63","42","56","42","67","36",
"0500000US01033","Colbert County, Alabama","4283","402","859","338","321","166","264","150","195","92","263","138","283","157","306","199","235","189","163","121","449","255","301","123","277","159","204","125","56","70","89","71","18","23",
"0500000US01035","Conecuh County, Alabama","2096","184","297","147","279","143","130","78","46","39","99","69","121","75","279","159","139","100","110","105","111","70","159","102","100","55","145","71","39","38","28","40","14","18",
"0500000US01037","Coosa County, Alabama","1266","164","31","30","118","85","28","27","169","97","99","62","95","72","61","50","70","46","59","49","164","98","196","123","59","53","56","61","0","21","23","31","38","53",
"0500000US01039","Covington County, Alabama","1497","139","99","56","240","114","120","73","106","55","172","81","84","60","84","49","106","60","22","21","96","59","195","85","55","36","72","57","8","13","38","48","0","28",
"0500000US01041","Crenshaw County, Alabama","1323","133","251","125","160","72","76","48","103","62","106","65","10","10","146","71","58","39","77","49","74","51","84","49","85","63","9","13","53","47","10","15","21","28",
"0500000US01043","Cullman County, Alabama","221","71","7","9","4","4","12","18","27","24","0","31","2","4","13","15","5","7","13","17","1","4","60","64","25","19","2","5","48","54","0","31","2","3",
"0500000US01045","Dale County, Alabama","3971","250","394","122","346","133","439","178","378","159","214","88","245","115","225","106","300","131","56","51","264","98","280","113","326","115","260","84","82","49","77","65","85","55",
"0500000US01047","Dallas County, Alabama","10856","402","1368","371","1229","292","1015","266","1181","343","707","219","547","171","640","232","272","131","424","161","689","184","1029","301","667","225","521","150","224","143","246","115","97","75",
"0500000US01049","DeKalb County, Alabama","277","85","10","17","22","35","34","40","61","69","20","29","21","34","0","31","4","9","10","17","23","47","0","31","0","31","44","42","0","31","0","31","28","19",
"0500000US01051","Elmore County, Alabama","6273","392","570","197","286","146","561","241","483","240","248","118","379","186","261","154","282","142","310","155","525","237","640","249","681","227","303","130","244","142","350","183","150","78",
"0500000US01053","Escambia County, Alabama","3535","219","570","234","503","205","340","161","100","75","73","54","328","158","145","75","220","144","178","139","225","124","358","163","255","167","70","49","116","85","30","37","24","31",
"0500000US01055","Etowah County, Alabama","5921","401","483","145","786","240","424","148","388","134","271","125","507","197","461","185","319","131","234","118","279","114","772","159","385","118","189","93","144","101","252","154","27","38",
"0500000US01057","Fayette County, Alabama","607","137","161","117","101","75","60","44","17","21","3","5","30","34","29","43","39","51","3","6","72","68","30","38","23","29","11","16","0","21","6","13","22","28",
"0500000US01059","Franklin County, Alabama","638","132","20","22","96","58","138","113","37","49","38","48","0","28","0","28","6","11","0","28","0","28","74","70","165","151","0","28","64","60","0","28","0","28",
"0500000US01061","Geneva County, Alabama","1049","137","37","43","105","60","119","84","169","89","119","86","78","55","112","67","79","41","15","23","68","64","71","60","48","44","15","25","7","15","7","11","0","25",
"0500000US01063","Greene County, Alabama","2410","207","225","101","420","150","165","95","309","169","237","119","183","92","144","74","102","67","17","19","235","117","118","76","101","58","51","49","49","42","31","35","23","25",
"0500000US01065","Hale County, Alabama","3082","235","290","144","534","159","351","142","327","198","105","65","124","79","98","69","182","91","37","29","217","124","126","84","392","128","129","73","81","63","42","50","47","33",
"0500000US01067","Henry County, Alabama","1609","165","96","67","201","83","306","125","60","50","144","72","76","49","48","43","39","31","52","42","100","62","86","55","152","94","107","58","23","21","41","28","78","86",
"0500000US01069","Houston County, Alabama","11173","292","1299","146","1032","151","943","142","745","120","695","138","691","107","490","99","837","165","416","121","846","136","741","125","1193","180","516","94","340","86","185","67","204","77",
"0500000US01071","Jackson County, Alabama","613","97","40","37","77","54","64","47","33","32","14","22","45","37","52","44","16","22","44","49","83","44","48","44","0","31","46","60","27","31","18","30","6","14",
"0500000US01073","Jefferson County, Alabama","114347","1683","10255","842","8751","801","6586","644","6943","765","7012","721","5763","815","6375","819","4812","538","4417","560","8639","991","10049","822","13535","1178","7578","750","4456","537","5083","605","4093","532",
"0500000US01075","Lamar County, Alabama","563","101","82","52","98","59","5","7","111","81","20","20","25","25","31","37","24","28","68","84","22","20","16","22","7","12","40","27","12","20","2","3","0","21",
"0500000US01077","Lauderdale County, Alabama","3508","365","626","231","313","149","223","106","306","148","153","79","187","115","117","82","120","104","171","112","201","111","254","137","525","182","170","119","50","42","18","25","74","53",
"0500000US01079","Lawrence County, Alabama","1523","110","167","82","138","53","82","45","101","69","36","30","89","51","108","83","64","45","61","38","146","56","116","51","212","86","102","45","52","35","45","36","4","6",
"0500000US01081","Lee County, Alabama","14928","755","1515","381","1449","381","742","222","705","283","894","315","876","306","913","322","949","328","720","300","913","228","1092","341","1631","354","1063","297","563","274","493","182","410","148",
"0500000US01083","Limestone County, Alabama","5196","424","247","176","428","181","155","113","168","132","141","99","195","160","331","183","384","275","148","92","294","179","373","192","472","211","430","195","497","283","539","268","394","201",
"0500000US01085","Lowndes County, Alabama","3037","158","359","110","522","131","316","112","184","85","329","131","96","55","155","59","117","53","98","58","142","80","216","81","271","105","125","59","27","23","49","44","31","18",
"0500000US01087","Macon County, Alabama","5768","287","647","131","378","105","595","153","323","97","301","100","295","141","281","121","276","116","411","117","391","104","519","147","470","125","378","124","215","98","121","59","167","87",
"0500000US01089","Madison County, Alabama","39499","893","3075","600","1991","401","2254","569","2052","485","1455","362","2572","609","1677","348","1739","375","1645","421","2469","415","3655","621","4770","747","2969","505","2093","460","2587","463","2496","460",
"0500000US01091","Marengo County, Alabama","4000","280","475","145","732","217","278","139","349","144","193","113","254","156","117","76","200","133","150","104","207","105","324","162","399","164","119","68","84","89","69","71","50","45",
"0500000US01093","Marion County, Alabama","374","117","0","25","131","68","0","25","11","14","77","71","11","19","0","25","46","68","0","25","24","38","7","12","0","25","67","83","0","25","0","25","0","25",
"0500000US01095","Marshall County, Alabama","820","135","131","69","82","53","23","25","58","33","48","36","54","51","15","20","35","34","18","20","50","32","76","65","80","65","93","56","10","13","29","37","18","20",
"0500000US01097","Mobile County, Alabama","57504","1055","5428","583","4607","490","3648","486","4623","468","3799","503","3295","520","2822","474","2537","406","3765","692","4184","565","5549","700","5761","726","3116","515","1468","272","1927","413","975","231",
"0500000US01099","Monroe County, Alabama","3388","259","504","180","394","142","221","126","364","174","289","93","213","116","154","94","81","59","146","100","306","141","217","125","249","133","157","87","33","31","48","47","12","18",
"0500000US01101","Montgomery County, Alabama","52788","996","5287","653","3425","513","3146","614","2663","439","2597","528","2860","444","2425","474","3122","627","2166","492","4931","696","5726","638","5510","689","3601","527","1976","390","1934","491","1419","327",
"0500000US01103","Morgan County, Alabama","5913","375","358","182","432","186","446","151","300","241","712","232","338","164","328","237","369","234","148","122","458","215","377","155","406","145","459","190","257","184","308","140","217","133",
