"GEO_ID","NAME","B19001C_001E","B19001C_001M","B19001C_002E","B19001C_002M","B19001C_003E","B19001C_003M","B19001C_004E","B19001C_004M","B19001C_005E","B19001C_005M","B19001C_006E","B19001C_006M","B19001C_007E","B19001C_007M","B19001C_008E","B19001C_008M","B19001C_009E","B19001C_009M","B19001C_010E","B19001C_010M","B19001C_011E","B19001C_011M","B19001C_012E","B19001C_012M","B19001C_013E","B19001C_013M","B19001C_014E","B19001C_014M","B19001C_015E","B19001C_015M","B19001C_016E","B19001C_016M","B19001C_017E","B19001C_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"0500000US01001","Autauga County, Alabama","13","22","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","7","18","0","31","0","31","6","14","0","31",
"0500000US01003","Baldwin County, Alabama","285","110","30","36","3","5","0","31","0","31","1","3","23","26","0","31","28","43","32","35","6","10","75","62","0","31","8","17","7","12","7","14","65","69",
"0500000US01005","Barbour County, Alabama","20","20","0","25","0","25","8","15","0","25","8","12","0","25","0","25","0","25","0","25","4","6","0","25","0","25","0","25","0","25","0","25","0","25",
"0500000US01007","Bibb County, Alabama","83","54","0","25","30","37","0","25","0","25","0","25","0","25","20","32","4","8","0","25","0","25","20","33","0","25","9","19","0","25","0","25","0","25",
"0500000US01009","Blount County, Alabama","71","41","0","31","7","10","0","31","11","24","7","12","0","31","0","31","3","5","0","31","6","10","9","15","22","23","0","31","0","31","6","9","0","31",
"0500000US01011","Bullock County, Alabama","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21",
"0500000US01013","Butler County, Alabama","47","30","0","21","0","21","0","21","0","21","0","21","0","21","0","21","5","10","0","21","33","32","0","21","0","21","0","21","0","21","0","21","9","15",
"0500000US01015","Calhoun County, Alabama","195","99","63","85","26","25","0","31","7","13","18","22","13","20","0","31","0","31","5","8","14","24","0","31","25","32","0","31","23","27","0","31","1","3",
"0500000US01017","Chambers County, Alabama","8","15","0","28","8","15","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28",
"0500000US01019","Cherokee County, Alabama","46","56","0","25","0","25","0","25","0","25","2","4","8","14","0","25","0","25","0","25","0","25","36","55","0","25","0","25","0","25","0","25","0","25",
