"GEO_ID","NAME","B19001D_001E","B19001D_001M","B19001D_002E","B19001D_002M","B19001D_003E","B19001D_003M","B19001D_004E","B19001D_004M","B19001D_005E","B19001D_005M","B19001D_006E","B19001D_006M","B19001D_007E","B19001D_007M","B19001D_008E","B19001D_008M","B19001D_009E","B19001D_009M","B19001D_010E","B19001D_010M","B19001D_011E","B19001D_011M","B19001D_012E","B19001D_012M","B19001D_013E","B19001D_013M","B19001D_014E","B19001D_014M","B19001D_015E","B19001D_015M","B19001D_016E","B19001D_016M","B19001D_017E","B19001D_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"0500000US01001","Autauga County, Alabama","225","120","0","31","0","31","0","31","0","31","0","31","5","11","0","31","0","31","0","31","80","116","50","69","56","51","0","31","0","31","34","58","0","31",
"0500000US01003","Baldwin County, Alabama","583","146","25","34","0","31","0","31","0","31","0","31","50","56","26","42","92","89","0","31","11","22","20","32","77","60","102","71","14","17","96","86","70","72",
"0500000US01005","Barbour County, Alabama","56","20","0","25","0","25","0","25","4","6","0","25","0","25","0","25","0","25","5","9","0","25","28","30","13","14","0","25","0","25","6","10","0","25",
"0500000US01007","Bibb County, Alabama","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25",
"0500000US01009","Blount County, Alabama","24","35","0","31","0","31","0","31","18","32","0","31","0","31","0","31","0","31","0","31","0","31","1","4","0","31","5","12","0","31","0","31","0","31",
"0500000US01011","Bullock County, Alabama","47","51","47","51","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21",
"0500000US01013","Butler County, Alabama","61","34","0","21","0","21","9","16","0","21","0","21","0","21","0","21","0","21","0","21","22","32","0","21","0","21","8","13","10","18","0","21","12","16",
"0500000US01015","Calhoun County, Alabama","325","94","24","39","24","34","0","31","4","7","4","10","0","31","0","31","19","30","70","62","12","13","38","39","62","64","32","37","11","22","16","29","9","16",
"0500000US01017","Chambers County, Alabama","162","125","0","28","80","106","0","28","0","28","32","59","50","73","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28",
"0500000US01019","Cherokee County, Alabama","17","34","3","5","0","25","13","33","0","25","0","25","0","25","0","25","1","3","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25",
"0500000US01021","Chilton County, Alabama","103","74","0","28","52","79","0","28","0","28","0","28","0","28","0","28","0","28","0","28","23","23","0","28","0","28","0","28","0","28","0","28","28","41",
"0500000US01023","Choctaw County, Alabama","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21",
"0500000US01025","Clarke County, Alabama","8","14","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","8","14","0","25","0","25",
"0500000US01027","Clay County, Alabama","13","11","0","21","0","21","0","21","0","21","6","13","0","21","0","21","0","21","0","21","7","6","0","21","0","21","0","21","0","21","0","21","0","21",
"0500000US01029","Cleburne County, Alabama","14","24","0","21","0","21","0","21","0","21","0","21","14","24","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21",
"0500000US01031","Coffee County, Alabama","85","56","13","22","0","31","0","31","0","31","25","41","0","31","6","11","0","31","5","6","8","8","10","15","0","31","0","31","5","5","9","14","4","12",
"0500000US01033","Colbert County, Alabama","91","72","0","31","0","31","22","33","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","3","6","0","31","38","46","28","32",
"0500000US01035","Conecuh County, Alabama","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21",
"0500000US01037","Coosa County, Alabama","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21",
"0500000US01039","Covington County, Alabama","56","44","38","43","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","1","5","8","11","9","16","0","28","0","28","0","28","0","28",
