"GEO_ID","NAME","B19001F_001E","B19001F_001M","B19001F_002E","B19001F_002M","B19001F_003E","B19001F_003M","B19001F_004E","B19001F_004M","B19001F_005E","B19001F_005M","B19001F_006E","B19001F_006M","B19001F_007E","B19001F_007M","B19001F_008E","B19001F_008M","B19001F_009E","B19001F_009M","B19001F_010E","B19001F_010M","B19001F_011E","B19001F_011M","B19001F_012E","B19001F_012M","B19001F_013E","B19001F_013M","B19001F_014E","B19001F_014M","B19001F_015E","B19001F_015M","B19001F_016E","B19001F_016M","B19001F_017E","B19001F_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"0500000US01001","Autauga County, Alabama","232","136","48","92","0","31","0","31","23","39","0","31","70","68","19","29","0","31","0","31","0","31","0","31","0","31","11","23","42","57","10","16","9","13",
"0500000US01003","Baldwin County, Alabama","1721","455","195","182","17","34","50","64","116","137","74","113","105","156","159","155","16","21","32","50","185","202","82","71","244","156","69","71","66","110","231","213","80","86",
"0500000US01005","Barbour County, Alabama","381","125","96","91","0","25","0","25","47","58","0","25","13","19","8","14","38","49","50","72","45","47","0","25","35","34","7","11","0","25","42","41","0","25",
"0500000US01007","Bibb County, Alabama","10","15","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","10","15","0","25","0","25","0","25","0","25","0","25","0","25",
"0500000US01009","Blount County, Alabama","448","170","18","26","0","31","0","31","42","57","58","59","22","28","50","48","2","5","13","22","1","2","70","53","36","52","50","54","3","5","83","102","0","31",
"0500000US01011","Bullock County, Alabama","92","56","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","60","58","32","47","0","21","0","21","0","21","0","21",
"0500000US01013","Butler County, Alabama","17","19","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","17","19","0","21","0","21","0","21","0","21",
"0500000US01015","Calhoun County, Alabama","870","227","195","108","9","13","12","22","17","33","0","31","66","79","71","94","49","77","32","34","16","19","37","38","248","227","38","59","29","38","0","31","51","42",
"0500000US01017","Chambers County, Alabama","178","82","17","23","0","28","0","28","0","28","0","28","0","28","0","28","5","9","0","28","70","72","0","28","49","50","34","32","3","8","0","28","0","28",
