"GEO_ID","NAME","B19001G_001E","B19001G_001M","B19001G_002E","B19001G_002M","B19001G_003E","B19001G_003M","B19001G_004E","B19001G_004M","B19001G_005E","B19001G_005M","B19001G_006E","B19001G_006M","B19001G_007E","B19001G_007M","B19001G_008E","B19001G_008M","B19001G_009E","B19001G_009M","B19001G_010E","B19001G_010M","B19001G_011E","B19001G_011M","B19001G_012E","B19001G_012M","B19001G_013E","B19001G_013M","B19001G_014E","B19001G_014M","B19001G_015E","B19001G_015M","B19001G_016E","B19001G_016M","B19001G_017E","B19001G_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"0500000US01001","Autauga County, Alabama","954","249","8","21","0","31","0","31","115","141","8","13","60","66","10","14","66","61","0","31","31","40","63","54","253","231","111","77","82","66","11","20","136","117",
"0500000US01003","Baldwin County, Alabama","3110","464","91","74","106","87","127","107","45","49","53","43","104","79","38","41","126","79","183","155","218","111","298","144","526","198","456","203","264","131","235","147","240","112",
"0500000US01005","Barbour County, Alabama","181","70","6","9","41","34","13","21","22","21","16","37","2","5","10","20","5","7","7","11","4","7","32","28","3","6","5","6","6","12","0","25","9","14",
"0500000US01007","Bibb County, Alabama","87","65","14","25","0","25","25","39","0","25","14","21","0","25","0","25","0","25","0","25","18","30","0","25","3","5","13","17","0","25","0","25","0","25",
"0500000US01009","Blount County, Alabama","1056","263","77","53","25","23","54","84","28","35","214","159","50","58","23","29","68","60","119","77","24","22","66","43","73","41","43","59","83","72","88","95","21","32",
"0500000US01011","Bullock County, Alabama","79","72","13","38","54","71","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","12","17","0","21","0","21","0","21","0","21","0","21",
"0500000US01013","Butler County, Alabama","104","70","5","9","3","6","0","21","44","56","11","15","8","13","0","21","0","21","0","21","0","21","5","9","12","19","14","18","0","21","2","4","0","21",
"0500000US01015","Calhoun County, Alabama","1136","307","145","146","101","73","135","104","42","40","14","19","103","112","15","16","34","32","17","16","43","34","98","58","126","87","156","105","73","55","34","22","0","31",
"0500000US01017","Chambers County, Alabama","192","92","1","3","0","28","4","8","0","28","0","28","21","31","2","6","38","50","2","4","6","8","19","25","16","21","0","28","11","11","72","60","0","28",
"0500000US01019","Cherokee County, Alabama","195","63","22","23","0","25","25","23","0","25","4","7","0","25","0","25","53","41","13","22","8","11","23","31","16","18","8","16","0","25","6","7","17","23",
"0500000US01021","Chilton County, Alabama","373","128","0","28","0","28","0","28","17","28","1","3","19","22","4","7","77","64","47","42","67","86","62","78","18","20","21","22","2","4","0","28","38","53",
"0500000US01023","Choctaw County, Alabama","246","104","49","53","0","21","6","7","46","47","9","13","30","40","0","21","2","5","0","21","56","55","35","39","0","21","13","17","0","21","0","21","0","21",
"0500000US01025","Clarke County, Alabama","150","90","8","14","13","24","0","25","15","19","4","10","0","25","31","46","0","25","8","13","15","17","28","44","7","10","0","25","21","37","0","25","0","25",
"0500000US01027","Clay County, Alabama","181","94","4","7","32","43","2","5","42","44","0","21","0","21","23","32","0","21","0","21","0","21","0","21","2","3","27","40","0","21","32","39","17","27",
"0500000US01029","Cleburne County, Alabama","85","41","0","21","23","14","8","12","0","21","22","24","0","21","0","21","0","21","0","21","1","2","20","31","3","7","4","6","0","21","0","21","4","8",
"0500000US01031","Coffee County, Alabama","1515","208","127","92","57","37","29","28","46","37","29","26","43","32","119","62","31","26","84","65","48","29","163","90","219","67","284","124","31","27","113","55","92","57",
"0500000US01033","Colbert County, Alabama","873","216","150","99","90","85","2","4","0","31","0","31","26","33","68","53","30","28","146","141","59","67","82","53","61","49","0","31","5","9","154","127","0","31",
"0500000US01035","Conecuh County, Alabama","31","30","4","8","0","21","0","21","0","21","0","21","0","21","0","21","6","13","6","10","11","19","0","21","4","8","0","21","0","21","0","21","0","21",
"0500000US01037","Coosa County, Alabama","115","73","0","21","7","9","0","21","7","11","10","14","1","2","0","21","0","21","0","21","29","44","23","26","1","3","4","6","26","45","7","12","0","21",
"0500000US01039","Covington County, Alabama","257","64","4","5","29","29","20","22","0","28","20","23","7","12","12","12","6","9","15","23","14","14","28","22","52","39","19","21","11","12","20","19","0","28",
"0500000US01041","Crenshaw County, Alabama","113","52","0","21","0","21","0","21","10","11","0","21","2","3","0","21","22","33","3","6","38","40","31","20","5","9","0","21","0","21","2","4","0","21",
"0500000US01043","Cullman County, Alabama","1558","333","121","84","91","65","67","74","44","34","56","49","57","40","40","36","73","63","66","48","86","55","238","100","346","257","98","88","34","29","92","66","49","35",
"0500000US01045","Dale County, Alabama","868","183","37","36","74","72","38","40","27","21","65","49","28","25","21","30","34","45","0","28","57","55","150","80","186","86","54","29","34","35","35","29","28","20",
"0500000US01047","Dallas County, Alabama","91","64","4","10","0","28","7","9","10","14","9","10","0","28","41","53","0","28","0","28","3","5","0","28","14","17","0","28","0","28","3","8","0","28",
"0500000US01049","DeKalb County, Alabama","1498","247","64","57","60","48","222","105","219","131","86","77","5","6","10","11","126","128","40","44","34","29","92","56","336","154","118","69","41","28","42","35","3","5",
"0500000US01051","Elmore County, Alabama","782","188","19","33","129","106","50","65","24","24","43","40","48","44","16","24","50","43","34","36","34","34","58","72","80","55","17","20","96","68","74","53","10","12",
"0500000US01053","Escambia County, Alabama","398","110","28","27","54","49","18","26","32","47","39","39","6","10","26","25","18","20","66","60","0","28","15","20","1","3","26","26","17","27","36","45","16","23",
"0500000US01055","Etowah County, Alabama","1055","154","78","54","60","48","133","86","32","18","88","68","65","56","90","56","46","37","21","21","68","49","50","37","140","94","25","33","54","52","34","43","71","66",
"0500000US01057","Fayette County, Alabama","125","80","0","21","25","27","0","21","42","46","1","3","0","21","0","21","4","6","0","21","29","43","12","14","5","8","7","12","0","21","0","21","0","21",
"0500000US01059","Franklin County, Alabama","496","152","9","12","94","115","18","20","14","15","22","31","0","28","37","57","23","37","12","20","27","27","104","89","53","66","4","8","0","28","49","52","30","29",
"0500000US01061","Geneva County, Alabama","284","78","16","23","45","43","25","25","21","18","0","25","40","42","18","17","15","18","10","13","6","6","46","35","22","18","0","25","10","16","7","9","3","6",
"0500000US01063","Greene County, Alabama","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19",
"0500000US01065","Hale County, Alabama","194","91","49","54","0","21","51","55","0","21","11","21","22","26","0","21","11","16","0","21","36","41","8","9","0","21","0","21","4","8","2","4","0","21",
"0500000US01067","Henry County, Alabama","123","52","13","12","38","33","0","21","0","21","5","9","14","16","0","21","1","3","1","2","5","8","5","8","7","10","11","13","11","20","1","2","11","19",
"0500000US01069","Houston County, Alabama","1378","147","106","39","110","40","56","39","87","54","103","56","60","48","29","19","51","30","42","20","90","35","142","47","129","46","122","44","91","45","87","44","73","40",
"0500000US01071","Jackson County, Alabama","974","165","44","30","113","95","129","71","63","43","27","23","60","65","10","12","100","51","93","72","32","32","36","27","98","66","34","27","42","22","70","68","23","21",
"0500000US01073","Jefferson County, Alabama","7651","717","711","250","260","113","398","195","276","109","223","110","396","184","481","210","276","119","176","86","657","258","511","162","887","275","648","201","404","154","688","219","659","266",
"0500000US01075","Lamar County, Alabama","48","37","2","4","13","20","12","21","0","21","0","21","1","2","0","21","5","9","0","21","1","2","5","10","0","21","9","16","0","21","0","21","0","21",
"0500000US01077","Lauderdale County, Alabama","1634","305","14","15","135","101","157","112","166","146","10","14","125","106","104","80","29","33","52","45","282","155","215","111","67","45","121","103","53","40","80","66","24","24",
"0500000US01079","Lawrence County, Alabama","929","162","16","20","77","73","56","61","41","45","95","79","43","45","31","27","3","4","59","54","55","58","87","66","58","51","75","46","76","53","84","85","73","70",
"0500000US01081","Lee County, Alabama","2479","503","154","138","52","56","172","125","62","55","78","76","181","115","279","211","176","189","24","32","129","97","214","117","191","92","159","90","99","73","278","166","231","166",
"0500000US01083","Limestone County, Alabama","1545","405","76","73","31","44","145","118","119","145","79","64","36","51","0","31","10","15","25","35","121","90","42","39","263","153","193","124","83","58","161","124","161","140",
"0500000US01085","Lowndes County, Alabama","18","16","5","9","0","21","3","5","1","3","0","21","0","21","0","21","0","21","0","21","0","21","0","21","5","9","0","21","4","10","0","21","0","21",
"0500000US01087","Macon County, Alabama","306","128","26","40","10","17","9","12","24","23","0","21","0","21","0","21","0","21","7","10","45","39","26","24","128","113","12","20","9","13","0","21","10","11",
"0500000US01089","Madison County, Alabama","6968","717","239","116","234","140","210","100","319","206","265","122","194","107","251","141","334","146","245","156","499","214","488","184","892","283","786","195","708","253","584","199","720","163",
"0500000US01091","Marengo County, Alabama","71","57","14","23","0","21","0","21","0","21","8","13","4","7","13","22","0","21","0","21","0","21","0","21","18","46","8","10","0","21","0","21","6","19",
"0500000US01093","Marion County, Alabama","179","81","25","21","4","7","23","26","21","19","0","25","6","9","0","25","0","25","0","25","6","12","52","75","13","10","15","20","3","5","2","3","9","11",
"0500000US01095","Marshall County, Alabama","1813","286","115","50","43","28","79","46","131","77","142","82","136","116","64","46","80","78","77","48","158","84","85","37","162","55","189","90","78","50","96","60","178","135",
"0500000US01097","Mobile County, Alabama","5353","564","332","155","188","118","191","75","185","96","106","67","161","94","381","171","280","148","478","278","410","120","414","140","662","218","386","124","437","181","382","158","360","147",
"0500000US01099","Monroe County, Alabama","170","73","13","18","16","23","0","21","46","39","0","21","26","35","0","21","0","21","0","21","9","12","0","21","12","15","14","25","0","21","34","53","0","21",
"0500000US01101","Montgomery County, Alabama","2429","485","175","127","194","126","96","89","235","189","179","121","136","77","16","17","115","120","74","76","111","113","483","268","206","90","131","65","89","65","120","82","69","57",
"0500000US01103","Morgan County, Alabama","2399","394","82","62","184","130","60","45","96","74","140","101","157","87","193","160","121","94","11","17","82","65","125","71","305","162","464","243","104","98","155","81","120","77",
"0500000US01105","Perry County, Alabama","15","20","0","19","3","9","12","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19",
"0500000US01107","Pickens County, Alabama","71","42","7","8","14","23","29","27","0","21","0","21","0","21","0","21","0","21","0","21","0","21","13","16","0","21","6","11","2","4","0","21","0","21",
"0500000US01109","Pike County, Alabama","331","126","0","28","74","80","0","28","24","27","24","23","63","78","9","12","2","4","8","9","12","13","0","28","21","18","28","37","55","59","5","6","6","10",
"0500000US01111","Randolph County, Alabama","546","166","16","21","4","6","25","27","81","71","105","96","24","38","78","70","6","10","0","25","39","51","39","50","74","68","0","25","4","7","26","26","25","37",
"0500000US01113","Russell County, Alabama","923","254","84","63","52","40","129","143","86","73","0","31","136","124","0","31","3","5","93","94","31","30","46","40","80","53","44","41","0","31","124","118","15","22",
"0500000US01115","St. Clair County, Alabama","1055","235","32","37","42","45","50","45","7","79","48","50","0","31","16","21","10","12","32","34","83","62","115","87","196","128","44","58","234","156","115","86","31","46",
"0500000US01117","Shelby County, Alabama","2940","395","184","110","136","100","92","61","85","72","72","85","80","79","5","8","38","38","120","87","109","70","165","89","336","130","452","187","453","203","237","142","376","150",
"0500000US01119","Sumter County, Alabama","178","89","17","18","0","21","10","13","0","21","0","21","0","21","31","54","0","21","3","6","39","47","0","21","32","37","46","43","0","21","0","21","0","21",
"0500000US01121","Talladega County, Alabama","789","217","26","23","149","92","36","30","21","27","10","17","29","33","14","17","3","5","77","81","164","127","42","36","111","62","43","32","31","47","33","37","0","31",
"0500000US01123","Tallapoosa County, Alabama","657","184","32","49","130","91","16","21","26","42","67","77","19","33","3","5","32","34","18","22","36","29","148","125","74","64","9","16","13","13","0","28","34","36",
"0500000US01125","Tuscaloosa County, Alabama","2606","395","217","144","120","119","98","77","20","20","208","158","97","83","112","69","4","6","87","65","131","75","208","165","621","204","253","126","49","52","158","95","223","138",
"0500000US01127","Walker County, Alabama","560","150","18","17","110","92","9","13","4","6","106","88","64","60","0","31","0","31","10","18","13","14","51","35","46","23","68","40","28","39","10","17","23","34",
"0500000US01129","Washington County, Alabama","96","87","9","13","46","71","0","21","0","21","0","21","0","21","0","21","25","49","0","21","0","21","6","9","0","21","0","21","10","19","0","21","0","21",
"0500000US01131","Wilcox County, Alabama","79","66","0","21","0","21","0","21","7","12","5","8","0","21","34","50","0","21","0","21","33","38","0","21","0","21","0","21","0","21","0","21","0","21",
"0500000US01133","Winston County, Alabama","250","79","4","8","37","46","6","9","2","4","24","29","14","18","7","10","25","33","12","17","11","12","6","8","11","13","34","34","12","18","34","25","11","19",
"0500000US02013","Aleutians East Borough, Alaska","149","44","5","5","0","10","3","4","3","3","4","5","5","5","3","6","2","4","0","10","35","25","9","7","9","10","5","5","25","17","41","27","0","10",
"0500000US02016","Aleutians West Census Area, Alaska","67","57","0","15","2","6","0","15","0","15","1","3","4","5","1","3","0","15","0","15","1","3","3","4","8","10","5","6","8","7","14","14","20","20",
"0500000US02020","Anchorage Municipality, Alaska","9916","795","544","204","500","238","160","93","204","136","68","54","202","138","352","146","456","191","342","178","460","187","838","249","1146","258","1057","257","1022","274","1357","373","1208","315",
"0500000US02050","Bethel Census Area, Alaska","164","65","7","7","0","16","0","16","0","16","0","16","0","16","5","6","11","18","3","4","5","7","5","7","38","38","2","3","26","22","44","34","18","24",
"0500000US02060","Bristol Bay Borough, Alaska","35","16","0","10","8","8","0","10","1","2","2","2","0","10","0","10","0","10","2","4","0","10","3","3","3","4","2","3","2","3","7","8","5","5",
"0500000US02063","Chugach Census Area, Alaska","249","91","0","15","2","4","0","15","0","15","1","3","30","29","38","45","7","12","0","15","2","4","9","12","69","57","12","20","28","24","32","36","19","20",
"0500000US02066","Copper River Census Area, Alaska","64","35","6","11","9","12","0","10","0","10","0","10","0","10","0","10","0","10","0","10","3","5","31","29","2","4","3","5","8","8","0","10","2","5",
"0500000US02068","Denali Borough, Alaska","5","5","0","10","0","10","0","10","2","3","0","10","0","10","0","10","0","10","0","10","3","5","0","10","0","10","0","10","0","10","0","10","0","10",
"0500000US02070","Dillingham Census Area, Alaska","108","38","0","10","0","10","0","10","0","10","3","4","9","9","4","7","8","11","0","10","10","8","19","12","19","14","17","12","5","6","8","9","6","7",
