"GEO_ID","NAME","B19001I_001E","B19001I_001M","B19001I_002E","B19001I_002M","B19001I_003E","B19001I_003M","B19001I_004E","B19001I_004M","B19001I_005E","B19001I_005M","B19001I_006E","B19001I_006M","B19001I_007E","B19001I_007M","B19001I_008E","B19001I_008M","B19001I_009E","B19001I_009M","B19001I_010E","B19001I_010M","B19001I_011E","B19001I_011M","B19001I_012E","B19001I_012M","B19001I_013E","B19001I_013M","B19001I_014E","B19001I_014M","B19001I_015E","B19001I_015M","B19001I_016E","B19001I_016M","B19001I_017E","B19001I_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"0500000US01001","Autauga County, Alabama","840","202","5","11","0","31","0","31","95","111","0","31","70","68","19","29","10","17","0","31","21","25","122","94","247","228","92","78","17","31","10","16","132","114",
"0500000US01003","Baldwin County, Alabama","3716","371","209","186","79","68","85","74","181","158","93","121","57","57","189","161","82","77","248","173","411","280","339","161","599","236","364","202","174","130","409","262","197","123",
"0500000US01005","Barbour County, Alabama","382","69","96","91","8","11","0","25","59","61","16","37","0","25","18","24","43","49","0","25","43","46","21","22","10","16","7","11","0","25","52","32","9","14",
"0500000US01007","Bibb County, Alabama","165","76","0","25","30","37","42","46","0","25","0","25","0","25","0","25","0","25","11","17","10","15","20","33","0","25","49","69","0","25","3","6","0","25",
"0500000US01009","Blount County, Alabama","1679","199","193","116","35","44","4","7","109","80","223","170","72","65","56","50","60","67","156","133","5","8","141","79","227","135","215","108","69","70","100","103","14","21",
"0500000US01011","Bullock County, Alabama","139","35","13","38","0","21","0","21","5","10","0","21","0","21","29","40","0","21","0","21","0","21","60","58","32","47","0","21","0","21","0","21","0","21",
"0500000US01013","Butler County, Alabama","101","51","12","20","3","6","11","18","44","56","0","21","6","10","0","21","0","21","0","21","0","21","0","21","17","19","8","14","0","21","0","21","0","21",
"0500000US01015","Calhoun County, Alabama","1585","182","258","124","15","20","96","64","34","43","28","32","155","127","28","32","118","98","59","67","41","37","139","96","385","271","139","128","41","43","0","31","49","59",
"0500000US01017","Chambers County, Alabama","324","80","8","16","8","15","0","28","0","28","0","28","6","10","0","28","24","32","13","22","70","72","17","23","114","58","34","32","30","40","0","28","0","28",
"0500000US01019","Cherokee County, Alabama","193","42","3","5","0","25","0","25","22","18","2","4","0","25","0","25","77","43","0","25","3","5","62","48","8","13","0","25","11","16","0","25","5","13",
"0500000US01021","Chilton County, Alabama","1242","204","4","8","15","26","0","28","70","104","43","67","132","136","0","28","96","74","61","108","63","81","217","129","304","179","164","168","33","48","6","12","34","53",
"0500000US01023","Choctaw County, Alabama","71","45","11","18","0","21","0","21","0","21","17","19","0","21","0","21","0","21","0","21","0","21","26","37","7","11","0","21","10","16","0","21","0","21",
"0500000US01025","Clarke County, Alabama","94","46","20","24","0","25","0","25","22","19","4","10","0","25","0","25","0","25","0","25","12","16","1","3","8","15","6","12","21","37","0","25","0","25",
"0500000US01027","Clay County, Alabama","152","56","0","21","8","15","0","21","0","21","19","30","6","10","0","21","0","21","0","21","0","21","54","69","1","2","26","45","0","21","32","39","6","11",
"0500000US01029","Cleburne County, Alabama","56","36","0","21","0","21","0","21","0","21","5","11","4","8","0","21","0","21","0","21","33","32","0","21","0","21","0","21","0","21","10","19","4","8",
"0500000US01031","Coffee County, Alabama","1487","154","143","94","136","98","122","91","85","61","51","63","24","27","34","33","0","31","126","76","57","39","28","26","301","90","179","101","81","49","83","56","37","27",
"0500000US01033","Colbert County, Alabama","598","131","97","92","0","31","0","31","57","61","73","71","0","31","43","46","12","21","93","128","60","66","8","17","96","71","8","11","0","31","43","38","8","15",
"0500000US01035","Conecuh County, Alabama","33","37","16","27","0","21","0","21","11","20","0","21","0","21","0","21","6","13","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21",
"0500000US01037","Coosa County, Alabama","15","24","0","21","0","21","0","21","0","21","0","21","0","21","0","21","8","13","0","21","0","21","0","21","0","21","7","18","0","21","0","21","0","21",
"0500000US01039","Covington County, Alabama","116","43","0","28","1","3","3","6","0","28","0","28","0","28","18","20","0","28","45","23","20","27","11","20","16","31","0","28","0","28","2","6","0","28",
"0500000US01041","Crenshaw County, Alabama","85","53","0","21","11","16","0","21","12","17","0","21","0","21","0","21","0","21","0","21","47","49","12","18","3","7","0","21","0","21","0","21","0","21",
"0500000US01043","Cullman County, Alabama","1046","171","77","75","59","81","1","2","44","39","64","69","8","11","32","34","52","56","14","23","148","148","258","127","93","66","103","89","2","4","36","48","55","40",
"0500000US01045","Dale County, Alabama","1022","99","49","36","33","32","74","69","44","36","33","34","77","59","30","31","91","72","21","27","45","36","43","31","63","49","289","93","30","29","61","74","39","26",
"0500000US01047","Dallas County, Alabama","91","33","48","40","0","28","0","28","0","28","25","41","0","28","0","28","0","28","9","17","0","28","0","28","0","28","0","28","0","28","0","28","9","13",
"0500000US01049","DeKalb County, Alabama","2530","223","45","39","143","99","290","132","228","150","176","95","148","105","65","50","197","164","189","139","319","145","111","72","346","171","115","70","63","61","62","54","33","44",
"0500000US01051","Elmore County, Alabama","805","121","19","33","103","96","0","31","19","23","26","37","15","28","94","82","37","57","18","23","60","54","78","81","164","123","20","31","79","57","0","31","73","54",
"0500000US01053","Escambia County, Alabama","268","102","4","8","0","28","0","28","116","162","0","28","0","28","5","9","0","28","0","28","0","28","28","49","89","107","26","38","0","28","0","28","0","28",
"0500000US01055","Etowah County, Alabama","1172","138","57","65","34","45","59","57","47","27","87","74","57","50","17","19","91","82","22","34","303","125","76","80","205","109","14","20","4","10","67","91","32","55",
"0500000US01057","Fayette County, Alabama","18","28","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","18","28","0","21","0","21","0","21","0","21",
"0500000US01059","Franklin County, Alabama","1595","198","13","23","126","120","0","28","219","177","162","133","71","82","145","121","66","49","164","96","160","147","138","109","252","123","20","35","44","64","0","28","15","21",
"0500000US01061","Geneva County, Alabama","262","77","24","28","4","5","29","27","52","59","6","14","6","9","15","18","15","19","6","12","32","30","2","5","25","32","36","35","7","15","0","25","3","6",
"0500000US01063","Greene County, Alabama","21","27","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","21","27","0","19","0","19","0","19","0","19","0","19",
"0500000US01065","Hale County, Alabama","25","27","0","21","0","21","0","21","0","21","0","21","25","27","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21",
"0500000US01067","Henry County, Alabama","61","34","30","28","0","21","2","4","0","21","2","3","7","11","0","21","0","21","2","4","0","21","0","21","7","11","11","13","0","21","0","21","0","21",
"0500000US01069","Houston County, Alabama","1324","89","110","41","66","33","51","44","89","54","106","54","53","39","33","24","78","34","57","34","64","31","122","47","141","63","128","56","98","50","73","34","55","38",
"0500000US01071","Jackson County, Alabama","444","104","0","31","5","15","104","67","5","9","109","100","41","57","52","60","8","19","34","47","0","31","8","12","13","19","5","9","8","12","0","31","52","85",
