"GEO_ID","NAME","B01001B_001E","B01001B_001M","B01001B_002E","B01001B_002M","B01001B_003E","B01001B_003M","B01001B_004E","B01001B_004M","B01001B_005E","B01001B_005M","B01001B_006E","B01001B_006M","B01001B_007E","B01001B_007M","B01001B_008E","B01001B_008M","B01001B_009E","B01001B_009M","B01001B_010E","B01001B_010M","B01001B_011E","B01001B_011M","B01001B_012E","B01001B_012M","B01001B_013E","B01001B_013M","B01001B_014E","B01001B_014M","B01001B_015E","B01001B_015M","B01001B_016E","B01001B_016M","B01001B_017E","B01001B_017M","B01001B_018E","B01001B_018M","B01001B_019E","B01001B_019M","B01001B_020E","B01001B_020M","B01001B_021E","B01001B_021M","B01001B_022E","B01001B_022M","B01001B_023E","B01001B_023M","B01001B_024E","B01001B_024M","B01001B_025E","B01001B_025M","B01001B_026E","B01001B_026M","B01001B_027E","B01001B_027M","B01001B_028E","B01001B_028M","B01001B_029E","B01001B_029M","B01001B_030E","B01001B_030M","B01001B_031E","B01001B_031M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Margin of Error!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Margin of Error!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Margin of Error!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Margin of Error!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Margin of Error!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 to 24 years","Margin of Error!!Total:!!Male:!!20 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Margin of Error!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Margin of Error!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 44 years","Margin of Error!!Total:!!Male:!!35 to 44 years","Estimate!!Total:!!Male:!!45 to 54 years","Margin of Error!!Total:!!Male:!!45 to 54 years","Estimate!!Total:!!Male:!!55 to 64 years","Margin of Error!!Total:!!Male:!!55 to 64 years","Estimate!!Total:!!Male:!!65 to 74 years","Margin of Error!!Total:!!Male:!!65 to 74 years","Estimate!!Total:!!Male:!!75 to 84 years","Margin of Error!!Total:!!Male:!!75 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Margin of Error!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Margin of Error!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Margin of Error!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Margin of Error!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Margin of Error!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Margin of Error!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 to 24 years","Margin of Error!!Total:!!Female:!!20 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Margin of Error!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Margin of Error!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 44 years","Margin of Error!!Total:!!Female:!!35 to 44 years","Estimate!!Total:!!Female:!!45 to 54 years","Margin of Error!!Total:!!Female:!!45 to 54 years","Estimate!!Total:!!Female:!!55 to 64 years","Margin of Error!!Total:!!Female:!!55 to 64 years","Estimate!!Total:!!Female:!!65 to 74 years","Margin of Error!!Total:!!Female:!!65 to 74 years","Estimate!!Total:!!Female:!!75 to 84 years","Margin of Error!!Total:!!Female:!!75 to 84 years","Estimate!!Total:!!Female:!!85 years and over","Margin of Error!!Total:!!Female:!!85 years and over",
"0500000US01001","Autauga County, Alabama","11829","406","5553","199","208","155","536","187","410","172","312","28","97","81","463","86","432","31","412","17","748","45","664","47","664","8","426","31","181","31","0","31","6276","364","438","224","448","197","420","194","270","48","129","99","432","100","422","56","492","31","819","199","836","76","742","40","530","31","216","59","82","59",
"0500000US01003","Baldwin County, Alabama","19144","773","9353","528","664","138","525","166","814","183","465","82","207","153","498","264","697","112","712","117","1313","44","1135","47","1226","31","756","32","254","92","87","83","9791","420","434","203","514","231","536","199","457","112","358","183","731","187","728","31","751","22","1393","24","1196","95","1370","79","866","107","313","102","144","85",
"0500000US01005","Barbour County, Alabama","11616","127","6164","56","365","25","358","152","414","150","253","25","133","32","484","29","578","25","582","25","871","25","716","23","670","25","493","25","204","40","43","40","5452","107","352","12","574","83","126","62","205","26","127","25","342","25","356","25","352","25","612","60","637","25","701","9","642","21","311","71","115","70",
"0500000US01007","Bibb County, Alabama","4587","230","2921","142","118","113","157","127","180","118","111","36","101","79","185","143","274","176","401","186","494","203","393","140","331","99","99","69","77","74","0","25","1666","143","26","42","138","84","82","68","51","36","38","67","23","32","172","112","69","53","373","128","132","112","255","25","210","67","86","62","11","21",
"0500000US01009","Blount County, Alabama","747","154","382","114","41","47","37","49","8","15","34","51","21","35","52","50","35","38","26","25","0","31","17","18","20","19","33","39","43","38","15","15","365","110","0","31","41","66","23","32","0","31","4","6","6","13","18","25","2","3","26","29","35","36","43","57","143","96","16","24","8","13",
"0500000US01011","Bullock County, Alabama","7234","109","3757","124","273","82","83","60","370","77","48","58","255","157","50","73","373","191","395","189","322","101","590","194","483","17","401","89","113","89","1","10","3477","119","111","80","388","133","202","115","104","94","190","103","88","75","190","101","247","121","355","111","365","102","527","21","414","21","178","71","118","71",
"0500000US01013","Butler County, Alabama","8411","81","3711","112","311","21","293","104","321","103","140","103","92","94","291","101","246","21","220","21","456","21","384","21","422","21","362","88","160","86","13","23","4700","118","260","40","222","77","345","79","249","103","64","59","299","62","309","21","315","21","680","10","582","13","569","21","469","9","289","42","48","42",
"0500000US01015","Calhoun County, Alabama","25515","537","12142","305","1113","74","840","237","740","224","498","62","728","74","1294","58","842","90","812","95","1417","31","1278","41","1279","66","909","51","329","45","63","45","13373","396","815","95","669","166","1180","207","504","34","846","57","1223","111","812","144","976","79","1634","101","1462","60","1519","111","1225","12","380","122","128","73",
"0500000US01017","Chambers County, Alabama","13697","125","6188","111","413","28","500","146","400","142","161","82","52","52","532","86","439","57","424","28","691","18","767","11","943","13","611","28","255","28","0","28","7509","115","409","28","334","154","578","154","395","82","178","28","405","45","547","28","495","28","910","4","960","28","969","41","787","26","391","114","151","114",
"0500000US01019","Cherokee County, Alabama","948","199","496","133","6","12","0","25","14","22","29","44","0","25","0","25","28","36","30","47","186","115","55","70","22","30","113","67","0","25","13","21","452","80","0","25","0","25","14","22","0","25","0","25","0","25","4","7","96","91","65","66","35","50","103","45","51","45","22","37","62","36",
"0500000US01021","Chilton County, Alabama","4175","192","2025","159","94","80","197","86","56","46","60","61","4","7","365","51","21","28","81","86","463","128","135","82","339","129","185","123","25","42","0","28","2150","154","137","108","228","104","138","85","18","30","6","10","135","122","133","159","179","121","234","132","307","121","283","39","186","84","166","84","0","28",
"0500000US01023","Choctaw County, Alabama","4782","228","2201","140","112","55","120","59","145","70","83","55","80","43","107","49","112","52","238","77","110","74","220","45","396","19","309","21","118","44","51","44","2581","177","163","58","149","61","110","65","92","56","70","53","101","52","158","21","155","21","224","54","292","37","453","53","360","63","178","66","76","62",
