"GEO_ID","NAME","B01001C_001E","B01001C_001M","B01001C_002E","B01001C_002M","B01001C_003E","B01001C_003M","B01001C_004E","B01001C_004M","B01001C_005E","B01001C_005M","B01001C_006E","B01001C_006M","B01001C_007E","B01001C_007M","B01001C_008E","B01001C_008M","B01001C_009E","B01001C_009M","B01001C_010E","B01001C_010M","B01001C_011E","B01001C_011M","B01001C_012E","B01001C_012M","B01001C_013E","B01001C_013M","B01001C_014E","B01001C_014M","B01001C_015E","B01001C_015M","B01001C_016E","B01001C_016M","B01001C_017E","B01001C_017M","B01001C_018E","B01001C_018M","B01001C_019E","B01001C_019M","B01001C_020E","B01001C_020M","B01001C_021E","B01001C_021M","B01001C_022E","B01001C_022M","B01001C_023E","B01001C_023M","B01001C_024E","B01001C_024M","B01001C_025E","B01001C_025M","B01001C_026E","B01001C_026M","B01001C_027E","B01001C_027M","B01001C_028E","B01001C_028M","B01001C_029E","B01001C_029M","B01001C_030E","B01001C_030M","B01001C_031E","B01001C_031M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Margin of Error!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Margin of Error!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Margin of Error!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Margin of Error!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Margin of Error!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 to 24 years","Margin of Error!!Total:!!Male:!!20 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Margin of Error!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Margin of Error!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 44 years","Margin of Error!!Total:!!Male:!!35 to 44 years","Estimate!!Total:!!Male:!!45 to 54 years","Margin of Error!!Total:!!Male:!!45 to 54 years","Estimate!!Total:!!Male:!!55 to 64 years","Margin of Error!!Total:!!Male:!!55 to 64 years","Estimate!!Total:!!Male:!!65 to 74 years","Margin of Error!!Total:!!Male:!!65 to 74 years","Estimate!!Total:!!Male:!!75 to 84 years","Margin of Error!!Total:!!Male:!!75 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Margin of Error!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Margin of Error!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Margin of Error!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Margin of Error!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Margin of Error!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Margin of Error!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 to 24 years","Margin of Error!!Total:!!Female:!!20 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Margin of Error!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Margin of Error!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 44 years","Margin of Error!!Total:!!Female:!!35 to 44 years","Estimate!!Total:!!Female:!!45 to 54 years","Margin of Error!!Total:!!Female:!!45 to 54 years","Estimate!!Total:!!Female:!!55 to 64 years","Margin of Error!!Total:!!Female:!!55 to 64 years","Estimate!!Total:!!Female:!!65 to 74 years","Margin of Error!!Total:!!Female:!!65 to 74 years","Estimate!!Total:!!Female:!!75 to 84 years","Margin of Error!!Total:!!Female:!!75 to 84 years","Estimate!!Total:!!Female:!!85 years and over","Margin of Error!!Total:!!Female:!!85 years and over",
"0500000US01001","Autauga County, Alabama","42","41","34","40","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","7","18","6","14","21","34","0","31","0","31","0","31","8","14","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","8","14","0","31","0","31","0","31",
"0500000US01003","Baldwin County, Alabama","980","350","536","221","0","31","0","31","40","62","24","38","38","44","69","38","80","80","21","30","80","73","95","66","52","35","18","19","19","28","0","31","444","186","14","29","48","65","33","53","0","31","0","31","42","48","53","58","0","31","41","47","120","76","76","50","8","13","1","3","8","16",
"0500000US01005","Barbour County, Alabama","46","31","26","24","0","25","0","25","0","25","0","25","0","25","0","25","5","12","0","25","7","15","8","16","2","4","0","25","4","6","0","25","20","18","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","4","6","0","25","8","12","0","25","8","15",
"0500000US01007","Bibb County, Alabama","175","149","93","115","0","25","0","25","0","25","0","25","63","79","0","25","0","25","0","25","0","25","30","37","0","25","0","25","0","25","0","25","82","53","0","25","0","25","0","25","0","25","0","25","0","25","0","25","29","33","0","25","29","36","20","32","0","25","4","8","0","25",
"0500000US01009","Blount County, Alabama","235","159","166","142","6","10","34","35","0","31","40","54","10","22","0","31","0","31","12","19","40","49","6","10","11","24","2","4","5","9","0","31","69","44","0","31","1","2","4","7","0","31","8","15","0","31","0","31","14","17","10","12","9","14","7","9","11","13","5","9","0","31",
"0500000US01011","Bullock County, Alabama","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21",
"0500000US01013","Butler County, Alabama","69","47","36","25","0","21","0","21","0","21","0","21","0","21","0","21","0","21","4","6","4","5","9","15","0","21","0","21","19","17","0","21","33","32","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","33","32","0","21","0","21",
"0500000US01015","Calhoun County, Alabama","302","123","121","64","0","31","12","18","14","18","2","4","41","34","13","20","0","31","0","31","0","31","25","24","13","16","1","2","0","31","0","31","181","99","0","31","0","31","0","31","6","11","16","23","0","31","17","25","24","32","74","87","1","3","12","18","23","24","8","10","0","31",
"0500000US01017","Chambers County, Alabama","16","24","8","15","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","8","15","0","28","0","28","0","28","0","28","0","28","8","18","0","28","0","28","0","28","0","28","0","28","5","13","0","28","1","2","0","28","0","28","2","5","0","28","0","28","0","28",
"0500000US01019","Cherokee County, Alabama","103","49","6","11","1","3","0","25","2","3","0","25","0","25","0","25","0","25","0","25","3","7","0","25","0","25","0","25","0","25","0","25","97","48","0","25","0","25","0","25","0","25","0","25","4","9","8","14","0","25","13","16","36","49","36","55","0","25","0","25","0","25",
"0500000US01021","Chilton County, Alabama","616","600","486","501","0","28","0","28","0","28","122","148","0","28","71","91","0","28","26","46","145","160","122","125","0","28","0","28","0","28","0","28","130","128","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","68","94","56","92","6","10","0","28","0","28",
"0500000US01023","Choctaw County, Alabama","15","23","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","15","23","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","15","23","0","21","0","21","0","21","0","21",
"0500000US01025","Clarke County, Alabama","9","16","9","16","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","9","16","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25",
"0500000US01027","Clay County, Alabama","19","36","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","19","36","0","21","0","21","8","15","7","14","0","21","0","21","0","21","0","21","0","21","4","8","0","21","0","21","0","21","0","21",
"0500000US01029","Cleburne County, Alabama","42","35","4","6","0","21","0","21","1","3","0","21","0","21","0","21","0","21","0","21","1","3","0","21","2","4","0","21","0","21","0","21","38","34","11","17","19","24","1","2","4","8","0","21","0","21","0","21","0","21","1","3","0","21","0","21","0","21","2","5","0","21",
"0500000US01031","Coffee County, Alabama","312","93","226","74","9","12","31","31","45","24","18","19","0","31","5","10","5","8","12","17","53","33","16","18","15","12","7","8","9","16","1","3","86","41","0","31","7","8","7","9","7","8","1","3","1","2","2","3","4","6","4","8","34","22","11","12","8","12","0","31","0","31",
"0500000US01033","Colbert County, Alabama","94","59","33","33","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","5","11","10","18","14","22","4","8","0","31","0","31","61","50","0","31","0","31","9","13","0","31","0","31","0","31","2","6","0","31","0","31","0","31","39","50","11","13","0","31","0","31",
"0500000US01035","Conecuh County, Alabama","17","25","17","25","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","11","22","6","10","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21",
"0500000US01037","Coosa County, Alabama","13","18","13","18","0","21","0","21","0","21","0","21","0","21","0","21","1","3","0","21","0","21","12","18","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21",
"0500000US01039","Covington County, Alabama","83","47","21","17","1","3","0","28","0","28","0","28","0","28","0","28","0","28","9","14","11","13","0","28","0","28","0","28","0","28","0","28","62","43","0","28","7","9","27","26","7","9","0","28","0","28","0","28","1","2","0","28","17","18","0","28","0","28","0","28","3","4",
"0500000US01041","Crenshaw County, Alabama","28","31","25","30","0","21","0","21","22","30","0","21","0","21","0","21","0","21","0","21","0","21","3","5","0","21","0","21","0","21","0","21","3","6","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","3","6","0","21","0","21","0","21","0","21","0","21",
"0500000US01043","Cullman County, Alabama","312","183","241","176","0","31","0","31","0","31","3","5","26","34","0","31","0","31","0","31","1","3","119","151","11","17","80","76","1","2","0","31","71","48","0","31","0","31","17","23","0","31","3","6","0","31","0","31","0","31","3","5","16","19","3","7","29","25","0","31","0","31",
"0500000US01045","Dale County, Alabama","333","142","196","99","14","22","48","47","0","28","0","28","0","28","3","6","0","28","10","17","53","51","4","6","37","28","27","35","0","28","0","28","137","70","20","35","0","28","5","9","0","28","0","28","0","28","0","28","13","21","26","29","13","15","17","24","32","33","11","14","0","28",
"0500000US01047","Dallas County, Alabama","93","38","43","19","0","28","0","28","0","28","25","18","0","28","0","28","6","10","11","19","1","3","0","28","0","28","0","28","0","28","0","28","50","26","0","28","0","28","0","28","0","28","23","17","0","28","0","28","0","28","0","28","5","8","5","7","17","12","0","28","0","28",
"0500000US01049","DeKalb County, Alabama","1059","417","542","255","21","40","40","59","116","165","23","34","0","31","145","156","31","27","0","31","41","43","2","7","57","53","57","45","9","17","0","31","517","205","5","11","63","62","23","32","11","15","42","58","102","81","20","21","32","54","88","70","70","48","45","31","16","15","0","31","0","31",
"0500000US01051","Elmore County, Alabama","204","88","91","44","0","31","0","31","1","3","0","31","0","31","0","31","0","31","6","13","10","15","0","31","58","37","0","31","16","24","0","31","113","56","2","7","0","31","0","31","0","31","0","31","0","31","0","31","10","15","8","16","25","29","56","43","6","12","0","31","6","11",
"0500000US01053","Escambia County, Alabama","1105","111","459","78","25","18","26","12","39","14","15","18","21","35","10","16","37","43","91","64","62","38","60","44","27","33","41","27","5","8","0","28","646","70","54","19","41","21","39","31","15","17","43","40","89","44","8","13","49","35","21","19","62","45","98","9","87","32","40","36","0","28",
"0500000US01055","Etowah County, Alabama","277","192","145","147","5","41","0","31","4","6","3","31","0","31","0","31","59","59","13","20","36","50","11","12","11","12","3","8","0","31","0","31","132","86","0","31","0","31","14","21","0","31","0","31","2","4","39","51","0","31","15","18","40","46","9","13","13","20","0","31","0","31",
"0500000US01057","Fayette County, Alabama","29","27","21","22","0","21","0","21","0","21","0","21","0","21","0","21","0","21","13","20","0","21","0","21","0","21","8","9","0","21","0","21","8","10","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","8","10","0","21","0","21","0","21",
"0500000US01059","Franklin County, Alabama","274","205","166","111","0","28","20","26","0","28","0","28","0","28","0","28","18","28","0","28","55","60","53","81","20","22","0","28","0","28","0","28","108","99","0","28","11","22","0","28","0","28","0","28","45","56","0","28","10","19","0","28","41","73","1","3","0","28","0","28","0","28",
"0500000US01061","Geneva County, Alabama","65","51","42","26","1","5","0","25","0","25","0","25","0","25","4","6","4","6","0","25","0","25","0","25","33","21","0","25","0","25","0","25","23","38","0","25","0","25","1","5","0","25","1","6","2","4","0","25","0","25","1","3","14","25","4","9","0","25","0","25","0","25",
"0500000US01063","Greene County, Alabama","9","17","9","17","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","9","17","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19",
