"GEO_ID","NAME","B01001D_001E","B01001D_001M","B01001D_002E","B01001D_002M","B01001D_003E","B01001D_003M","B01001D_004E","B01001D_004M","B01001D_005E","B01001D_005M","B01001D_006E","B01001D_006M","B01001D_007E","B01001D_007M","B01001D_008E","B01001D_008M","B01001D_009E","B01001D_009M","B01001D_010E","B01001D_010M","B01001D_011E","B01001D_011M","B01001D_012E","B01001D_012M","B01001D_013E","B01001D_013M","B01001D_014E","B01001D_014M","B01001D_015E","B01001D_015M","B01001D_016E","B01001D_016M","B01001D_017E","B01001D_017M","B01001D_018E","B01001D_018M","B01001D_019E","B01001D_019M","B01001D_020E","B01001D_020M","B01001D_021E","B01001D_021M","B01001D_022E","B01001D_022M","B01001D_023E","B01001D_023M","B01001D_024E","B01001D_024M","B01001D_025E","B01001D_025M","B01001D_026E","B01001D_026M","B01001D_027E","B01001D_027M","B01001D_028E","B01001D_028M","B01001D_029E","B01001D_029M","B01001D_030E","B01001D_030M","B01001D_031E","B01001D_031M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Margin of Error!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Margin of Error!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Margin of Error!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Margin of Error!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Margin of Error!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 to 24 years","Margin of Error!!Total:!!Male:!!20 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Margin of Error!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Margin of Error!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 44 years","Margin of Error!!Total:!!Male:!!35 to 44 years","Estimate!!Total:!!Male:!!45 to 54 years","Margin of Error!!Total:!!Male:!!45 to 54 years","Estimate!!Total:!!Male:!!55 to 64 years","Margin of Error!!Total:!!Male:!!55 to 64 years","Estimate!!Total:!!Male:!!65 to 74 years","Margin of Error!!Total:!!Male:!!65 to 74 years","Estimate!!Total:!!Male:!!75 to 84 years","Margin of Error!!Total:!!Male:!!75 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Margin of Error!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Margin of Error!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Margin of Error!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Margin of Error!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Margin of Error!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Margin of Error!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 to 24 years","Margin of Error!!Total:!!Female:!!20 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Margin of Error!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Margin of Error!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 44 years","Margin of Error!!Total:!!Female:!!35 to 44 years","Estimate!!Total:!!Female:!!45 to 54 years","Margin of Error!!Total:!!Female:!!45 to 54 years","Estimate!!Total:!!Female:!!55 to 64 years","Margin of Error!!Total:!!Female:!!55 to 64 years","Estimate!!Total:!!Female:!!65 to 74 years","Margin of Error!!Total:!!Female:!!65 to 74 years","Estimate!!Total:!!Female:!!75 to 84 years","Margin of Error!!Total:!!Female:!!75 to 84 years","Estimate!!Total:!!Female:!!85 years and over","Margin of Error!!Total:!!Female:!!85 years and over",
"0500000US01001","Autauga County, Alabama","616","232","181","116","0","31","0","31","0","31","0","31","0","31","9","16","80","116","0","31","28","47","0","31","47","53","0","31","17","35","0","31","435","193","0","31","30","46","60","92","9","21","0","31","10","20","0","31","62","97","139","99","0","31","64","37","40","52","12","29","9","17",
"0500000US01003","Baldwin County, Alabama","2272","347","917","211","68","67","184","57","29","39","74","54","0","31","52","67","20","35","51","54","157","85","148","75","47","49","48","45","39","47","0","31","1355","189","93","101","11","22","114","70","30","42","70","70","0","31","72","58","80","63","346","108","211","93","44","33","82","84","20","24","182","110",
"0500000US01005","Barbour County, Alabama","136","19","74","21","0","25","5","9","0","25","5","8","0","25","0","25","12","19","0","25","18","19","33","31","1","3","0","25","0","25","0","25","62","18","0","25","0","25","5","9","0","25","0","25","0","25","0","25","6","9","5","9","32","27","14","14","0","25","0","25","0","25",
"0500000US01007","Bibb County, Alabama","51","58","28","52","0","25","0","25","0","25","0","25","0","25","28","52","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","23","39","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","23","39","0","25","0","25","0","25","0","25",
"0500000US01009","Blount County, Alabama","51","53","24","35","0","31","0","31","0","31","0","31","0","31","1","4","0","31","0","31","0","31","0","31","23","35","0","31","0","31","0","31","27","35","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","9","18","0","31","0","31","18","29","0","31","0","31",
"0500000US01011","Bullock County, Alabama","47","51","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","47","51","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","47","51","0","21","0","21","0","21","0","21",
"0500000US01013","Butler County, Alabama","249","62","158","53","16","16","13","23","0","21","0","21","0","21","19","19","14","25","19","19","10","18","22","32","17","18","12","16","16","19","0","21","91","21","16","15","0","21","0","21","0","21","0","21","0","21","0","21","22","27","11","14","17","30","11","17","14","16","0","21","0","21",
"0500000US01015","Calhoun County, Alabama","925","151","450","113","15","24","17","33","15","23","24","39","9","21","76","65","110","73","28","40","8","12","30","28","106","66","12","17","0","31","0","31","475","104","0","31","18","25","0","31","19","31","0","31","4","10","35","33","4","7","160","70","23","24","70","48","110","57","17","26","15","22",
"0500000US01017","Chambers County, Alabama","201","122","130","110","0","28","0","28","0","28","0","28","0","28","80","106","0","28","0","28","50","73","0","28","0","28","0","28","0","28","0","28","71","73","0","28","0","28","0","28","0","28","0","28","0","28","0","28","32","59","0","28","0","28","26","43","0","28","13","21","0","28",
