"GEO_ID","NAME","B01001F_001E","B01001F_001M","B01001F_002E","B01001F_002M","B01001F_003E","B01001F_003M","B01001F_004E","B01001F_004M","B01001F_005E","B01001F_005M","B01001F_006E","B01001F_006M","B01001F_007E","B01001F_007M","B01001F_008E","B01001F_008M","B01001F_009E","B01001F_009M","B01001F_010E","B01001F_010M","B01001F_011E","B01001F_011M","B01001F_012E","B01001F_012M","B01001F_013E","B01001F_013M","B01001F_014E","B01001F_014M","B01001F_015E","B01001F_015M","B01001F_016E","B01001F_016M","B01001F_017E","B01001F_017M","B01001F_018E","B01001F_018M","B01001F_019E","B01001F_019M","B01001F_020E","B01001F_020M","B01001F_021E","B01001F_021M","B01001F_022E","B01001F_022M","B01001F_023E","B01001F_023M","B01001F_024E","B01001F_024M","B01001F_025E","B01001F_025M","B01001F_026E","B01001F_026M","B01001F_027E","B01001F_027M","B01001F_028E","B01001F_028M","B01001F_029E","B01001F_029M","B01001F_030E","B01001F_030M","B01001F_031E","B01001F_031M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Margin of Error!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Margin of Error!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Margin of Error!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Margin of Error!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Margin of Error!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 to 24 years","Margin of Error!!Total:!!Male:!!20 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Margin of Error!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Margin of Error!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 44 years","Margin of Error!!Total:!!Male:!!35 to 44 years","Estimate!!Total:!!Male:!!45 to 54 years","Margin of Error!!Total:!!Male:!!45 to 54 years","Estimate!!Total:!!Male:!!55 to 64 years","Margin of Error!!Total:!!Male:!!55 to 64 years","Estimate!!Total:!!Male:!!65 to 74 years","Margin of Error!!Total:!!Male:!!65 to 74 years","Estimate!!Total:!!Male:!!75 to 84 years","Margin of Error!!Total:!!Male:!!75 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Margin of Error!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Margin of Error!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Margin of Error!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Margin of Error!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Margin of Error!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Margin of Error!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 to 24 years","Margin of Error!!Total:!!Female:!!20 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Margin of Error!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Margin of Error!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 44 years","Margin of Error!!Total:!!Female:!!35 to 44 years","Estimate!!Total:!!Female:!!45 to 54 years","Margin of Error!!Total:!!Female:!!45 to 54 years","Estimate!!Total:!!Female:!!55 to 64 years","Margin of Error!!Total:!!Female:!!55 to 64 years","Estimate!!Total:!!Female:!!65 to 74 years","Margin of Error!!Total:!!Female:!!65 to 74 years","Estimate!!Total:!!Female:!!75 to 84 years","Margin of Error!!Total:!!Female:!!75 to 84 years","Estimate!!Total:!!Female:!!85 years and over","Margin of Error!!Total:!!Female:!!85 years and over",
"0500000US01001","Autauga County, Alabama","460","328","167","134","0","31","0","31","0","31","0","31","11","21","39","56","21","37","8","17","0","31","65","64","0","31","0","31","0","31","23","33","293","224","83","129","9","18","0","31","0","31","0","31","17","28","0","31","0","31","55","92","17","24","47","64","42","45","23","34","0","31",
"0500000US01003","Baldwin County, Alabama","5440","1149","2601","643","321","200","254","185","97","139","223","197","58","62","66","84","160","95","246","210","432","195","450","291","111","130","161","120","22","33","0","31","2839","798","252","204","95","100","494","388","296","277","21","36","154","153","195","89","116","89","359","209","428","232","299","159","75","88","55","49","0","31",
"0500000US01005","Barbour County, Alabama","1337","295","666","192","31","54","79","63","39","45","45","64","69","68","51","47","68","68","59","68","90","56","0","25","83","36","15","20","37","56","0","25","671","178","57","43","140","136","35","62","37","34","0","25","0","25","32","33","71","61","153","93","42","36","54","47","0","25","50","72","0","25",
"0500000US01007","Bibb County, Alabama","80","93","16","27","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","6","21","10","15","0","25","0","25","0","25","0","25","64","77","0","25","12","21","12","21","0","25","0","25","0","25","0","25","0","25","0","25","40","43","0","25","0","25","0","25","0","25",
"0500000US01009","Blount County, Alabama","2055","603","1109","356","124","76","65","45","140","89","35","50","104","99","107","87","131","72","36","32","82","78","163","85","86","100","36","37","0","31","0","31","946","295","40","38","89","63","189","85","40","55","3","4","87","80","118","45","14","16","107","72","171","91","42","34","46","41","0","31","0","31",
"0500000US01011","Bullock County, Alabama","328","192","147","76","12","20","27","30","16","17","0","21","0","21","0","21","36","54","0","21","32","47","24","36","0","21","0","21","0","21","0","21","181","127","33","41","16","26","0","21","0","21","0","21","24","38","67","58","0","21","27","40","14","20","0","21","0","21","0","21","0","21",
"0500000US01013","Butler County, Alabama","78","56","20","19","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","3","9","12","18","0","21","5","9","0","21","0","21","58","44","0","21","8","13","0","21","0","21","0","21","0","21","0","21","0","21","10","15","19","29","0","21","21","25","0","21","0","21",
"0500000US01015","Calhoun County, Alabama","2421","451","1370","264","46","43","14","23","145","105","45","52","23","33","208","103","94","113","62","78","179","129","395","232","69","48","62","52","28","31","0","31","1051","276","39","48","134","101","85","82","147","92","97","80","26","38","13","23","52","68","198","103","145","117","70","48","33","37","12","22","0","31",
"0500000US01017","Chambers County, Alabama","716","327","196","73","10","17","0","28","0","28","13","22","0","28","2","5","0","28","99","60","32","28","4","14","36","48","0","28","0","28","0","28","520","281","73","78","68","77","152","114","0","28","0","28","0","28","84","64","52","59","46","60","3","8","42","44","0","28","0","28","0","28",
"0500000US01019","Cherokee County, Alabama","165","72","101","62","28","24","0","25","0","25","0","25","0","25","0","25","0","25","0","25","23","25","0","25","50","44","0","25","0","25","0","25","64","31","0","25","1","2","3","3","0","25","0","25","0","25","0","25","22","18","27","28","3","5","8","12","0","25","0","25","0","25",
